Station: 212 | Date: 2015-08-23 | Daily DSV: 2 | Cumulative DSV: 64 | Count: 69 | Avg. Temp: 13.05
Station: 212 | Date: 2015-08-24 | Daily DSV: 0 | Cumulative DSV: 64 | Count: 11 | Avg. Temp: 11.35
Station: 212 | Date: 2015-08-25 | Daily DSV: 0 | Cumulative DSV: 64 | Count: 11 | Avg. Temp: 11.05
Station: 212 | Date: 2015-08-26 | Daily DSV: 0 | Cumulative DSV: 64 | Count: 12 | Avg. Temp: 10.16
Station: 212 | Date: 2015-08-27 | Daily DSV: 1 | Cumulative DSV: 65 | Count: 44 | Avg. Temp: 12.13
Station: 212 | Date: 2015-08-28 | Daily DSV: 1 | Cumulative DSV: 66 | Count: 55 | Avg. Temp: 15.66
Station: 212 | Date: 2015-08-29 | Daily DSV: 2 | Cumulative DSV: 68 | Count: 65 | Avg. Temp: 15.06
Station: 212 | Date: 2015-08-30 | Daily DSV: 1 | Cumulative DSV: 69 | Count: 55 | Avg. Temp: 15.75
Station: 212 | Date: 2015-08-31 | Daily DSV: 1 | Cumulative DSV: 70 | Count: 44 | Avg. Temp: 15.77
Station: 212 | Date: 2015-09-01 | Daily DSV: 0 | Cumulative DSV: 70 | Count: 16 | Avg. Temp: 10.93
Station: 212 | Date: 2015-09-02 | Daily DSV: 1 | Cumulative DSV: 71 | Count: 30 | Avg. Temp: 13.75
Station: 212 | Date: 2015-09-03 | Daily DSV: 2 | Cumulative DSV: 73 | Count: 44 | Avg. Temp: 22.33
Station: 212 | Date: 2015-09-04 | Daily DSV: 2 | Cumulative DSV: 75 | Count: 39 | Avg. Temp: 22.00
Station: 212 | Date: 2015-09-05 | Daily DSV: 3 | Cumulative DSV: 78 | Count: 83 | Avg. Temp: 15.19
Station: 212 | Date: 2015-09-06 | Daily DSV: 3 | Cumulative DSV: 81 | Count: 96 | Avg. Temp: 16.63
Station: 212 | Date: 2015-09-07 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 13 | Avg. Temp: 11.80
Station: 212 | Date: 2015-09-08 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 5 | Avg. Temp: 9.62
Station: 212 | Date: 2015-09-09 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 0 | Avg. Temp: 0.00
Station: 212 | Date: 2015-09-10 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 13 | Avg. Temp: 9.36
Station: 212 | Date: 2015-09-11 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 0 | Avg. Temp: 0.00
Station: 212 | Date: 2015-09-12 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 2 | Avg. Temp: 9.30
Station: 212 | Date: 2015-09-13 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 9 | Avg. Temp: 10.20
Station: 212 | Date: 2015-09-14 | Daily DSV: 0 | Cumulative DSV: 81 | Count: 9 | Avg. Temp: 10.24
Station: 212 | Date: 2015-09-15 | Daily DSV: 1 | Cumulative DSV: 82 | Count: 29 | Avg. Temp: 10.91
Station: 212 | Date: 2015-09-16 | Daily DSV: 0 | Cumulative DSV: 82 | Count: 0 | Avg. Temp: 0.00
